window,market,code,name,cat,strategy,priceChange,return,maxDrawdown,sharpe,tradeCount,ok,err
W3,A,603773,"沃格光电",收藏夹,trend2,2.37,-22.51,9.98,-1.51,8,true,
W2,A,515180,"红利ETF易方达",收藏夹,trend6,5.54,1.95,0.54,0.69,4,true,
W2,A,600378,"昊华科技",收藏夹,trend6,16.28,0.33,7.76,0.11,4,true,
W3,A,513260,"恒生科技ETF汇添富",收藏夹,trend2,-29.99,-4.04,3.05,-1.10,8,true,
W3,A,600378,"昊华科技",收藏夹,trend,1.11,6.09,18.52,0.62,12,true,
W3,A,603773,"沃格光电",收藏夹,trend3,2.37,-19.26,18.36,-0.82,4,true,
W3,A,515180,"红利ETF易方达",收藏夹,trend,5.84,0.83,2.61,0.25,12,true,
W3,A,603773,"沃格光电",收藏夹,trend5,2.37,-16.63,14.94,-0.87,4,true,
W3,A,513260,"恒生科技ETF汇添富",收藏夹,trend3,-29.99,-7.53,7.53,-2.53,2,true,
W3,A,600378,"昊华科技",收藏夹,trend2,1.11,5.09,4.35,0.59,8,true,
W3,A,513260,"恒生科技ETF汇添富",收藏夹,trend5,-29.99,-4.90,4.90,-2.04,2,true,
W3,A,515180,"红利ETF易方达",收藏夹,trend2,5.84,0.73,0.00,0.68,2,true,
W3,A,603773,"沃格光电",收藏夹,trend6,2.37,-20.29,11.76,-1.52,6,true,
W3,A,515180,"红利ETF易方达",收藏夹,trend3,5.84,-6.80,2.68,-1.61,6,true,
W3,A,600378,"昊华科技",收藏夹,trend3,1.11,-17.66,11.01,-1.46,6,true,
W3,A,513260,"恒生科技ETF汇添富",收藏夹,trend6,-29.99,-4.90,4.90,-2.04,2,true,
W3,A,600378,"昊华科技",收藏夹,trend5,1.11,-14.45,10.33,-1.18,6,true,
W4,A,603773,"沃格光电",收藏夹,trend,340.37,113.44,36.01,2.88,14,true,
W3,A,515180,"红利ETF易方达",收藏夹,trend5,5.84,-0.56,0.28,-0.17,4,true,
W4,A,603773,"沃格光电",收藏夹,trend2,340.37,29.64,9.98,1.42,6,true,
W4,A,513260,"恒生科技ETF汇添富",收藏夹,trend,-25.67,-2.78,2.78,-2.22,2,true,
W3,A,600378,"昊华科技",收藏夹,trend6,1.11,-6.98,5.22,-0.53,6,true,
W4,A,513260,"恒生科技ETF汇添富",收藏夹,trend2,-25.67,1.41,0.00,0.58,2,true,
W3,A,515180,"红利ETF易方达",收藏夹,trend6,5.84,0.61,0.28,0.25,4,true,
W4,A,603773,"沃格光电",收藏夹,trend3,340.37,67.45,18.36,2.02,8,true,
W4,A,515180,"红利ETF易方达",收藏夹,trend,-3.58,-1.23,1.78,-0.33,8,true,
W4,A,600378,"昊华科技",收藏夹,trend,86.18,54.27,4.16,2.51,14,true,
W4,A,513260,"恒生科技ETF汇添富",收藏夹,trend3,-25.67,-8.21,8.21,-2.96,2,true,
W4,A,600378,"昊华科技",收藏夹,trend2,86.18,86.91,9.00,3.55,8,true,
W4,A,603773,"沃格光电",收藏夹,trend5,340.37,90.95,14.94,2.55,8,true,
W4,A,515180,"红利ETF易方达",收藏夹,trend2,-3.58,-0.08,0.77,-0.04,4,true,
W4,A,603773,"沃格光电",收藏夹,trend6,340.37,98.10,11.76,2.69,8,true,
W4,A,513260,"恒生科技ETF汇添富",收藏夹,trend5,-25.67,0.00,0.00,0.00,0,true,
W4,A,600378,"昊华科技",收藏夹,trend3,86.18,62.64,9.47,2.73,4,true,
W4,A,513260,"恒生科技ETF汇添富",收藏夹,trend6,-25.67,0.00,0.00,0.00,0,true,
W4,A,515180,"红利ETF易方达",收藏夹,trend3,-3.58,-4.91,2.68,-1.35,4,true,
W1,A,515230,"软件ETF国泰",收藏夹,trend,9.22,7.24,4.33,0.61,10,true,
W4,A,515180,"红利ETF易方达",收藏夹,trend5,-3.58,-0.28,0.28,-0.10,2,true,
W4,A,600378,"昊华科技",收藏夹,trend5,86.18,42.91,13.06,2.23,6,true,
W1,A,300968,"格林精密",收藏夹,trend,37.16,16.95,44.61,0.80,10,true,
W4,A,600378,"昊华科技",收藏夹,trend6,86.18,42.91,13.06,2.23,6,true,
W1,A,515230,"软件ETF国泰",收藏夹,trend2,9.22,2.57,1.58,0.33,6,true,
W4,A,515180,"红利ETF易方达",收藏夹,trend6,-3.58,0.90,0.00,0.44,2,true,
W1,A,515230,"软件ETF国泰",收藏夹,trend3,9.22,-19.04,11.02,-1.17,6,true,
W1,A,300968,"格林精密",收藏夹,trend2,37.16,-27.13,14.24,-1.73,6,true,
W1,A,000572,"海马汽车",收藏夹,trend,0.74,12.60,36.81,0.78,12,true,
W1,A,300968,"格林精密",收藏夹,trend3,37.16,10.96,19.70,0.65,4,true,
W1,A,601318,"中国平安",收藏夹,trend,-17.82,-10.89,7.70,-1.17,8,true,
W1,A,515230,"软件ETF国泰",收藏夹,trend5,9.22,-15.44,9.59,-1.27,6,true,
W1,A,601318,"中国平安",收藏夹,trend2,-17.82,-15.28,8.37,-1.63,10,true,
W1,A,000572,"海马汽车",收藏夹,trend2,0.74,21.09,32.41,1.15,8,true,
W1,A,300968,"格林精密",收藏夹,trend5,37.16,16.64,15.59,0.80,4,true,
W1,A,000572,"海马汽车",收藏夹,trend3,0.74,4.85,34.40,0.45,4,true,
W1,A,515230,"软件ETF国泰",收藏夹,trend6,9.22,-15.44,9.59,-1.27,6,true,
W1,A,601318,"中国平安",收藏夹,trend3,-17.82,-12.87,9.47,-1.08,4,true,
W2,A,515230,"软件ETF国泰",收藏夹,trend,16.27,1.92,9.07,0.31,18,true,
